Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-11-08,2018,11,8,Thursday,44,2018-44,52.85,52.86,50.96,51.5,51135200,51.08,-0.03648442084764836,51.951428571428565,62.1004
2018-11-09,2018,11,9,Friday,44,2018-44,50.6,52.33,50.26,51.42,41324000,51.0,-0.0015534460260024918,51.49857142857143,61.742599999999996
2018-11-12,2018,11,12,Monday,45,2018-45,50.49,50.72,47.17,47.38,61711600,47.0,-0.07842657840586054,50.94,61.2906
2018-11-13,2018,11,13,Tuesday,45,2018-45,48.37,51.05,48.31,49.83,64471200,49.43,0.05154590312561713,50.938571428571436,60.8722
2018-11-14,2018,11,14,Wednesday,45,2018-45,51.58,51.72,48.21,49.3,52658000,48.9,-0.010636642595070689,50.75,60.46940000000001
2018-11-15,2018,11,15,Thursday,45,2018-45,49.24,51.33,48.88,50.6,84070800,50.19,0.026370230437128717,50.82285714285714,60.120599999999996
2018-11-16,2018,11,16,Friday,45,2018-45,40.83,42.67,40.4,41.11,196352000,40.78,-0.1875587051790376,50.44785714285715,59.587799999999994
2018-11-19,2018,11,19,Monday,46,2018-46,40.45,40.46,36.16,36.17,169782000,35.88,-0.11999038278481056,49.415000000000006,58.942800000000005
2018-11-20,2018,11,20,Tuesday,46,2018-46,33.51,38.56,33.33,37.27,169203200,36.97,0.030269913532757098,48.32142857142857,58.3292
2018-11-21,2018,11,21,Wednesday,46,2018-46,38.65,38.83,35.9,36.18,102549600,35.89,-0.029312979966369834,47.02142857142858,57.716800000000006
2018-11-23,2018,11,23,Friday,46,2018-46,35.83,37.4,35.7,36.25,41196800,35.96,0.002003673134994166,45.78285714285714,57.090199999999996
2018-11-26,2018,11,26,Monday,47,2018-47,37.47,38.37,36.64,38.26,81483200,37.95,0.055517292887217407,44.74214285714286,56.47820000000001
2018-11-27,2018,11,27,Tuesday,47,2018-47,38.0,39.25,37.64,38.43,73806000,38.12,0.004443190541884912,43.72642857142857,55.882
2018-11-28,2018,11,28,Wednesday,47,2018-47,39.62,40.07,38.28,40.02,80452400,39.69,0.041240939566355994,42.77428571428571,55.3316
2018-11-29,2018,11,29,Thursday,47,2018-47,40.0,40.38,39.03,39.34,54917200,39.06,-0.015946400321207532,41.91571428571429,54.7638
2018-11-30,2018,11,30,Friday,47,2018-47,39.44,40.97,38.93,40.86,72956400,40.57,0.038573897927693945,41.17071428571428,54.2546
