,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label,profit,if_over_5_pers
129,2017-07-10,2017,7,10,Monday,28,2017-28,37.44,38.5,37.17,38.42,95849200,37.99,0.0472882349693299,37.01714285714286,34.1612,Long,0.1267988108120761,False
130,2017-07-11,2017,7,11,Tuesday,28,2017-28,38.46,39.05,38.04,38.97,75795600,38.53,0.01418350904599,36.99571428571429,34.416799999999995,Long,1.9083757896702593,False
131,2017-07-12,2017,7,12,Wednesday,28,2017-28,39.58,40.75,39.14,40.63,114520800,40.16,0.042532518165764,37.04928571428572,34.693400000000004,Long,0.365716265967464,False
132,2017-07-13,2017,7,13,Thursday,28,2017-28,40.75,41.58,39.69,40.16,136913200,39.7,-0.0115684383543741,37.08928571428572,34.976400000000005,short,-0.4928220184581704,False
133,2017-07-14,2017,7,14,Friday,28,2017-28,40.32,41.25,40.25,41.24,94194800,40.77,0.0268939396487186,37.285714285714285,35.277,Long,1.019821315596971,False
134,2017-07-17,2017,7,17,Monday,29,2017-29,41.58,41.88,40.44,41.06,93079200,40.59,-0.0042435705242008,37.49928571428571,35.576,short,1.912098212861764,False
135,2017-07-18,2017,7,18,Tuesday,29,2017-29,40.44,41.64,40.33,41.49,77664000,41.02,0.0104108953131283,37.84142857142857,35.883599999999994,Long,0.27468600035022916,False
136,2017-07-19,2017,7,19,Wednesday,29,2017-29,41.58,41.85,41.15,41.28,68704400,40.8,-0.0051820849037924,38.07642857142857,36.1922,short,-0.6118849188129474,False
137,2017-07-20,2017,7,20,Thursday,29,2017-29,41.48,41.88,40.98,41.88,69959600,41.4,0.0145366205624553,38.44428571428572,36.5118,Long,-0.6332745921926772,False
138,2017-07-21,2017,7,21,Friday,29,2017-29,41.67,42.33,41.52,42.03,64833200,41.55,0.0035823141163136,38.86,36.7438,Long,0.20928346622784488,False
139,2017-07-24,2017,7,24,Monday,30,2017-30,42.1,42.19,41.43,41.54,65252400,41.06,-0.0116005034946491,39.33285714285714,36.9404,short,0.700796003556448,False
140,2017-07-25,2017,7,25,Tuesday,30,2017-30,41.31,41.48,40.9,41.34,49655600,40.87,-0.0048147019290857,39.72642857142857,37.1264,Long,1.7757744129158226,False
141,2017-07-26,2017,7,26,Wednesday,30,2017-30,41.92,42.48,41.46,41.81,64040400,41.34,0.0115512053309894,40.146428571428565,37.29,short,-0.793198547628009,False
142,2017-07-27,2017,7,27,Thursday,30,2017-30,42.07,42.19,39.39,40.44,78285600,39.97,-0.0330024347919168,40.410714285714285,37.4138,short,1.1777988109501507,False
143,2017-07-28,2017,7,28,Friday,30,2017-30,40.07,41.35,39.82,41.1,51334800,40.63,0.0163842626871848,40.59928571428571,37.5958,Long,0.438497122908899,False
144,2017-07-31,2017,7,31,Monday,31,2017-31,41.24,41.6,40.15,40.63,55967200,40.16,-0.0114362328896383,40.71571428571429,37.742,short,0.3186990474210063,False
145,2017-08-01,2017,8,1,Tuesday,31,2017-31,40.53,41.14,40.25,41.12,43138400,40.65,0.0121837919343186,40.75071428571429,37.8828,Long,1.0076842254253222,False
146,2017-08-02,2017,8,2,Wednesday,31,2017-31,41.44,41.48,40.32,41.1,47844400,40.63,-0.0006078526530638,40.817142857142855,38.0088,short,0.031758361448652295,False
147,2017-08-03,2017,8,3,Thursday,31,2017-31,41.09,41.66,40.92,41.62,44242000,41.15,0.0127136125197286,40.84428571428572,38.1544,Long,0.721316171970841,False
148,2017-08-04,2017,8,4,Friday,31,2017-31,41.85,42.52,41.62,41.8,58909600,41.33,0.0043850804909533,40.89714285714285,38.296,short,-0.9352602023230361,False
149,2017-08-07,2017,8,7,Monday,32,2017-32,42.1,43.09,42.0,43.09,71741200,42.6,0.0307396087494831,41.01,38.4646,Long,1.1491972656995983,False
150,2017-08-08,2017,8,8,Tuesday,32,2017-32,43.47,43.64,42.18,42.58,75533600,42.09,-0.0118943096595224,41.10214285714286,38.6052,short,1.4672808318928219,False
151,2017-08-09,2017,8,9,Wednesday,32,2017-32,42.11,43.05,41.92,43.03,53078400,42.54,0.0106282483120898,41.18357142857143,38.74,Long,0.030892261125075038,False
152,2017-08-10,2017,8,10,Thursday,32,2017-32,43.04,43.17,41.08,41.19,132808800,40.72,-0.0428213622185794,41.12428571428571,38.8408,short,6.465228042142854,False
153,2017-08-11,2017,8,11,Friday,32,2017-32,39.28,39.75,38.23,38.99,149719600,38.55,-0.0532962966675901,40.945,38.8982,short,-3.248139617480433,False
154,2017-08-14,2017,8,14,Monday,33,2017-33,39.92,42.14,39.8,42.1,127902000,41.62,0.0797640861256852,40.99857142857143,39.0206,Long,0.16173085547154642,True
155,2017-08-15,2017,8,15,Tuesday,33,2017-33,42.15,42.42,41.4,41.74,76453200,41.27,-0.0084322333484929,40.99357142857143,39.1144,short,-0.5206266774702613,False
156,2017-08-16,2017,8,16,Wednesday,33,2017-33,41.9,42.13,40.96,41.29,59663200,40.82,-0.0109593609621432,41.05428571428571,39.2024,short,0.29669086416637924,False
157,2017-08-17,2017,8,17,Thursday,33,2017-33,41.2,41.38,40.35,40.37,52544400,39.91,-0.0222828144056748,41.00285714285714,39.2634,short,-1.8295050450164752,False
158,2017-08-18,2017,8,18,Friday,33,2017-33,40.92,41.09,39.91,40.38,60120400,39.91,0.0001858237685232,40.985,39.271,short,-0.7934160726983919,False
159,2017-08-21,2017,8,21,Monday,34,2017-34,40.62,40.74,39.34,39.79,62367200,39.33,-0.0145511971221016,40.89071428571429,39.3182,short,-1.0980170462711385,False
160,2017-08-22,2017,8,22,Tuesday,34,2017-34,40.12,40.7,39.93,40.64,45045600,40.21,0.0222628511310938,40.86071428571429,39.381,Long,-1.107628952829259,False
161,2017-08-23,2017,8,23,Wednesday,34,2017-34,40.3,41.56,40.21,41.45,57952000,41.01,0.0199938903894116,40.85071428571428,39.4528,Long,1.0452251077610413,False
162,2017-08-24,2017,8,24,Thursday,34,2017-34,41.78,41.82,41.03,41.3,46970000,40.86,-0.0036791073560661,40.81714285714286,39.52,short,-0.764555609091019,False
163,2017-08-25,2017,8,25,Friday,34,2017-34,41.54,41.65,40.89,40.95,35720000,40.52,-0.0083541161682286,40.66857142857143,39.5772,short,-0.6394521396406958,False
164,2017-08-28,2017,8,28,Monday,35,2017-35,41.15,41.28,40.58,41.24,38949600,40.81,0.0070813998544219,40.57714285714285,39.644,Long,-1.8731187463372692,False
165,2017-08-29,2017,8,29,Tuesday,35,2017-35,40.65,41.4,40.56,41.17,32409600,40.74,-0.0016368007397479,40.44857142857143,39.6812,Long,0.6582824492949158,False
166,2017-08-30,2017,8,30,Wednesday,35,2017-35,41.38,41.53,41.07,41.42,38440000,40.98,0.0059500825266372,40.46714285714285,39.7242,Long,0.6263302235363994,False
167,2017-08-31,2017,8,31,Thursday,35,2017-35,41.62,42.4,41.55,42.36,61268400,41.91,0.0226947125283047,40.707142857142856,39.7742,Long,0.40000263308147055,False
168,2017-09-01,2017,9,1,Friday,35,2017-35,42.49,42.97,42.4,42.62,44543200,42.17,0.0060199887836809,40.746428571428574,39.8348,Long,-1.5951301623305199,False
169,2017-09-05,2017,9,5,Tuesday,36,2017-36,42.1,42.15,40.89,41.48,69536400,41.04,-0.0266926742313686,40.73,39.8952,short,-1.0193155550410324,False
170,2017-09-06,2017,9,6,Wednesday,36,2017-36,41.81,41.95,41.1,41.45,39767200,41.02,-0.0006026776211968,40.74428571428571,39.9636,short,-0.5233356317568081,False
171,2017-09-07,2017,9,7,Thursday,36,2017-36,41.62,41.97,41.24,41.65,35286800,41.21,0.004643713780567,40.83714285714286,40.0632,Long,-0.36763949330673995,False
172,2017-09-08,2017,9,8,Friday,36,2017-36,41.53,41.68,40.68,40.92,49885600,40.49,-0.0173487562603568,40.87857142857143,40.122800000000005,short,-1.4143932963254287,False
173,2017-09-11,2017,9,11,Monday,37,2017-37,41.38,42.36,41.33,42.25,56744400,41.81,0.0324391737229994,41.05571428571428,40.234,Long,0.7444941302500183,False
174,2017-09-12,2017,9,12,Tuesday,37,2017-37,42.5,42.5,41.74,42.4,41148800,41.96,0.0036093526169151,41.18071428571428,40.3586,short,0.7506761692912249,False
175,2017-09-13,2017,9,13,Wednesday,37,2017-37,42.15,42.88,41.82,42.59,58096000,42.14,0.0044808495348127,41.26142857142857,40.5126,Long,-1.1658305832730633,False
176,2017-09-14,2017,9,14,Thursday,37,2017-37,42.2,43.14,41.95,42.35,51371200,41.9,-0.0056934972153448,41.33571428571428,40.6434,Long,2.5914875448362125,False
177,2017-09-15,2017,9,15,Friday,37,2017-37,43.22,45.03,43.16,45.03,136479200,44.55,0.0632233181240615,41.62357142857143,40.8252,Long,3.5737379323050504,False
178,2017-09-18,2017,9,18,Monday,38,2017-38,46.28,47.8,46.22,46.89,168446000,46.39,0.041308288593868,42.02214285714286,41.0276,Long,-1.4391165991658568,False
179,2017-09-19,2017,9,19,Tuesday,38,2017-38,46.38,47.46,46.15,46.84,87428000,46.34,-0.0010666891630942,42.42214285714287,41.1946,Long,0.11176341298590842,False
