Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-03-09,2020,3,9,Monday,10,2020-10,275.3,284.19,273.45,274.23,309417300,262.62,-0.07809442636284003,297.2507142857143,309.74080000000004
2020-03-10,2020,3,10,Tuesday,10,2020-10,284.64,288.52,273.5,288.42,276444100,276.21,0.0517451628354606,293.8357142857143,309.07959999999997
2020-03-11,2020,3,11,Wednesday,10,2020-10,280.7,281.94,270.88,274.36,255316300,262.75,-0.0487485490319477,289.5542857142857,308.1508
2020-03-12,2020,3,12,Thursday,10,2020-10,256.0,266.66,247.68,248.11,392220700,237.61,-0.09567725147096773,283.71500000000003,306.7532
2020-03-13,2020,3,13,Friday,10,2020-10,263.09,271.48,248.52,269.32,329566100,257.92,0.08548622851988119,280.08285714285716,305.747
2020-03-16,2020,3,16,Monday,11,2020-11,241.18,256.9,237.36,239.85,297240000,229.7,-0.10942364163995932,275.1035714285714,304.1186
2020-03-17,2020,3,17,Tuesday,11,2020-11,245.04,256.17,237.07,252.8,262070500,242.1,0.053992085361865394,271.0885714285714,302.7854
2020-03-18,2020,3,18,Wednesday,11,2020-11,236.25,248.37,228.02,240.0,327597100,229.84,-0.05063286990606908,267.1542857142857,301.1834
2020-03-19,2020,3,19,Thursday,11,2020-11,239.25,247.38,232.22,240.51,289322000,230.33,0.002124971817966337,263.3407142857143,299.6086
2020-03-20,2020,3,20,Friday,11,2020-11,242.53,244.47,228.5,228.8,347158800,220.4,-0.043094255795176006,257.94,297.8024
2020-03-23,2020,3,23,Monday,12,2020-12,228.19,229.68,218.26,222.95,326025200,214.77,-0.025568153299534102,252.74285714285716,295.8414
2020-03-24,2020,3,24,Tuesday,12,2020-12,234.42,244.1,233.8,243.15,235494500,234.23,0.09060330659013949,248.07214285714284,294.2876
2020-03-25,2020,3,25,Wednesday,12,2020-12,244.87,256.35,239.75,246.79,299430300,237.73,0.014970205970297634,244.36285714285714,292.7608
2020-03-26,2020,3,26,Thursday,12,2020-12,249.52,262.8,249.05,261.2,257632800,251.61,0.05838965921671857,241.98714285714286,291.52119999999996
2020-03-27,2020,3,27,Friday,12,2020-12,253.27,260.81,251.05,253.42,224341200,244.12,-0.029785628401094,240.6657142857143,290.11760000000004
2020-03-30,2020,3,30,Monday,13,2020-13,255.7,262.43,253.53,261.65,171369500,252.05,0.03247564439180639,238.94000000000003,288.8204
2020-03-31,2020,3,31,Tuesday,13,2020-13,260.56,263.33,256.22,257.75,194881100,248.29,-0.0149052514272493,237.90714285714287,287.4282
2020-04-01,2020,4,1,Wednesday,13,2020-13,247.98,257.66,243.9,246.15,189554600,237.12,-0.04500492289452307,237.87214285714285,285.8252
2020-04-02,2020,4,2,Thursday,13,2020-13,245.19,252.68,244.59,251.83,177660400,242.59,0.02307541229788601,236.77714285714288,284.33079999999995
2020-04-03,2020,4,3,Friday,13,2020-13,250.76,253.32,245.22,248.19,135561200,239.08,-0.014454217670091807,237.44714285714286,282.7588
2020-04-06,2020,4,6,Monday,14,2020-14,257.84,267.0,248.17,264.86,188061200,255.14,0.06716620285630936,238.37857142857143,281.56460000000004
2020-04-07,2020,4,7,Tuesday,14,2020-14,274.21,275.03,264.89,265.13,201427200,255.4,0.0010194495618269794,240.20428571428573,280.4766
2020-04-08,2020,4,8,Wednesday,14,2020-14,267.96,276.0,265.25,274.03,153774500,263.97,0.03356850115731813,242.60714285714286,279.495
